"","ID","Regulator","ExamDate","BankName","City","State","AssetSize","ExamMethod","Rating","UnknownVariable","MeanRankingbyQuarterwithinCity","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","ExamDate_d"
"10824",12287,3,"1/1/91","BANK OF OKLAHOMA, SAND SPRINGS","SAND SPRINGS","OK",58000,9,2,NA,2,2,NA,"",36.118535,-96.186776,1991-01-01
"10825",7788,1,"11/8/93","AMERICAN NATIONAL BANK & TRUST","SAPULPA","OK",205313,9,1,NA,1.666666667,1.857142857,NA,"",35.982642,-96.163955,1993-11-08
"10826",311050,2,"12/1/14","AMERICAN HERITAGE BK","SAPULPA","OK",1039155,7,2,NA,2,1.857142857,NA,"",35.982642,-96.163955,2014-12-01
"10827",8615,1,"12/7/93","THE FIRST NATIONAL BANK","SEILING","OK",60944,9,2,NA,2,2,NA,"",36.100391,-98.94537,1993-12-07
"10828",8615,1,"4/14/14","THE FIRST NATIONAL BANK OF SEILING","SEILING","OK",88737,2,2,NA,2,2,NA,"",36.100391,-98.94537,2014-04-14
"10829",4195,3,"10/1/14","SOUTHWEST STATE BANK","SENTINEL","OK",97336,2,2,NA,2,2,NA,"",35.15783,-99.17536,2014-10-01
"10830",9987,1,"9/26/91","SHATTUCK NATIONAL BANK","SHATTUCK","OK",48612,9,2,NA,2,2,NA,"",36.27587,-99.88123,1991-09-26
"10831",9987,1,"4/30/12","THE SHATTUCK NATIONAL BANK","SHATTUCK","OK",61815,2,2,NA,2,2,NA,"",36.27587,-99.88123,2012-04-30
"10832",9987,1,"12/4/17","SNB BANK, NATIONAL ASSOCIATION","SHATTUCK","OK",117393,2,2,NA,2,2,NA,"",36.27587,-99.88123,2017-12-04
"10833",18430,1,"5/11/93","THE FIRST OKLAHOMA BANK, N.A.","SHAWNEE","OK",26261,9,2,NA,2,1.769230769,81091,"C",35.33947,-96.921682,1993-05-11
"10834",13930,1,"3/30/93","AMERICAN NATIONAL BANK","SHAWNEE","OK",99956,9,2,NA,1.8,1.769230769,81091,"C",35.33947,-96.921682,1993-03-30
"10835",18430,1,"3/3/08","FIRST NATIONAL BANK AND TRUST COMPANY","SHAWNEE","OK",176902,2,1,NA,1,1.769230769,81091,"C",35.33947,-96.921682,2008-03-03
"10836",18430,1,"4/9/14","FIRST NATIONAL BANK & TRUST COMPANY","SHAWNEE","OK",237469,2,1,NA,1,1.769230769,81091,"C",35.33947,-96.921682,2014-04-09
"10837",13641,3,"12/1/90","COMMUNITY BANK","SHIDLER","OK",24000,9,2,NA,2,2,NA,"",36.781943,-96.6607,1990-12-01
"10838",10672,3,"6/5/08","THE EXCHANGE BANK","SKIATOOK","OK",107756,2,2,NA,2,1.888888889,82360,"C",36.363587,-96.016739,2008-06-05
"10839",4198,3,"6/1/10","BANK OF THE WICHITAS","SNYDER","OK",121621,2,2,NA,2,2,NA,"",34.673689,-98.95239,2010-06-01
"10840",18152,3,"4/1/92","THE SPENCER STATE BANK","SPENCER","OK",1000,9,2,NA,2,2,NA,"",35.49867,-97.38226,1992-04-01
"10841",18152,3,"1/1/05","ADVANTAGE BANK","SPENCER","OK",40417,2,2,NA,2,2,NA,"",35.49867,-97.38226,2005-01-01
"10842",16908,3,"2/1/12","SPIRO STATE BANK","SPIRO","OK",52960,2,2,NA,1.5,1.875,NA,"",35.264931,-94.55985,2012-02-01
"10843",7217,1,"5/18/92","THE FIRST NATIONAL BANK/STIGLER","STIGLER","OK",65176,9,2,NA,2,2,84979,"C",35.257271,-95.121043,1992-05-18
"10844",7217,1,"4/16/10","THE FIRST NATIONAL BANK OF STIGLER","STIGLER","OK",99024,2,2,NA,2,2,84979,"C",35.257271,-95.121043,2010-04-16
"10845",2061,4,"6/10/91","STILLWATER FSB","STILLWATER","OK",114052,8,2,NA,2,2,85033,"C",36.122259,-97.073298,1991-06-10
"10846",5347,1,"1/6/14","BANK SNB, NATIONAL ASSOCIATION","STILLWATER","OK",1997348,1,2,NA,2,2,85033,"C",36.122259,-97.073298,2014-01-06
"10847",5347,1,"7/5/06","STILLWATER NATIONAL BANK & TRUST COMPANY","STILLWATER","OK",2108113,1,2,NA,2,2,85033,"C",36.122259,-97.073298,2006-07-05
"10848",422,3,"3/1/10","BANK OF COMMERCE","STILWELL","OK",91341,2,2,NA,1.5,1.75,85060,"C",35.812659,-94.633442,2010-03-01
"10849",15762,3,"3/1/17","FIRST AMERICAN BANK","STONEWALL","OK",30894,2,2,NA,2,2,NA,"",34.651102,-96.52735,2017-03-01
