"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"6820","SAINT LOUIS","MO",1.756756757,NA,"",38.631501,-90.19231,21482592,3,1.66666666666667,"BREMEN BANK AND TRUST COMPANY, FIRST BK, STIFEL B&T",NA,NA,NA
"6821","SAINT LOUIS PARK","MN",2,NA,"",44.90414,-93.373157,287718,2,2,"VISIONBANK, CITIZENS INDEPENDENT BANK",NA,NA,NA
"6822","SAINT MARIES","ID",2,NA,"",47.279233,-116.646826,128185,1,2,"BANK OF LATAH",NA,NA,NA
"6823","SAINT MARTINVILLE","LA",2,NA,"",30.223672,-91.779374,102091,1,2,"TECHE BANK & TRUST CO.",NA,NA,NA
"6824","SAINT MARYS","GA",2,NA,"",30.73051,-81.54649,38872,1,2,"SATILLA COMMUNITY BANK",NA,NA,NA
"6825","SAINT MARYS","KS",2,NA,"",39.256719,-96.128154,78160,1,2,"ST MARYS ST BK",NA,NA,NA
"6826","SAINT MARYS","WV",2,NA,"",39.39174,-81.20511,66085,1,2,"PLEASANTS CTY BK",NA,NA,NA
"6827","SAINT MICHAEL","MN",2,NA,"",45.20996,-93.66496,610541,2,2,"GREAT NORTHERN BANK, HIGHLAND BANK",NA,NA,NA
"6828","SAINT MICHAELS","MD",2,NA,"",38.78512,-76.22439,203060,1,2,"SAINT MICHAELS BK",NA,NA,NA
"6829","SAINT PARIS","OH",1.75,NA,"",40.121683,-83.947262,102844,2,1.5,"THE FIRST CENTRAL NATIONAL BANK OF SAINT PARIS, THE FIRST CENTRAL NATIONAL BANK",NA,NA,NA
"6830","SAINT PAUL","MN",1.789473684,NA,"",44.951483,-93.090649,2157065,3,1,"ST. ANTHONY PARK BANK, AMERICAN BK, ANCHOR BANK, NATIONAL ASSOCIATION",205504155,8,"Asian Economic Development Association, CommonBond Communities, Hmong American Partnership, SB New Markets CDE LLC, Shared Capital Cooperative, Sparc, Twin Cities Habitat for Humanity, Inc., University Financial Corp."
"6831","SAINT PAUL","NE",2,NA,"",41.232405,-98.503283,189848,2,2,"CITIZENS BANK & TRUST COMPANY IN ST. PAUL, CITIZENS BANK & TRUST COMPANY",NA,NA,NA
"6832","SAINT PETER","IL",2,NA,"",38.867965,-88.852749,32512,1,2,"FIRST ST BK",NA,NA,NA
"6833","SAINT PETER","MN",2,NA,"",44.337793,-94.070153,157429,1,2,"THE NICOLLET COUNTY BANK OF SAINT PETER",NA,NA,NA
"6834","SAINT PETERS","MO",2,NA,"",38.798819,-90.623673,100958,1,2,"1ST ADVANTAGE BANK",NA,NA,NA
"6835","SAINT PETERSBURG","FL",1.916666667,NA,"",27.775654,-82.64092,5438510,4,2,"ANCHOR SAVINGS BANK, F.S.B., SYNOVUS BANK OF TAMPA BAY, C1 BANK, REPUBLIC BANK",NA,NA,NA
"6836","SAINT ROBERT","MO",2,NA,"",37.828203,-92.131213,169763,2,2,"FIRST ST BK OF ST ROBERT, SECURITY BANK OF PULASKI COUNTY",NA,NA,NA
"6837","SAINT STEPHEN","MN",2,NA,"",45.70274,-94.27444,25330,1,2,"ST. STEPHEN STATE BANK",NA,NA,NA
"6838","SAINTE GENEVIEVE","MO",2,NA,"",37.981442,-90.041779,293445,1,2,"MRV BANKS",NA,NA,NA
"6839","SAINTE MARIE","IL",2,NA,"",38.927986,-88.029084,19171,1,2,"SAINTE MARIE STATE BANK",NA,NA,NA
