"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"1","ABBEVILLE","GA",1.909090909,NA,"",31.977048,-83.372515,81246,1,2,"WILCOX COUNTY STATE BANK",NA,NA,NA
"2","ABBEVILLE","LA",2.041666667,37,"C",29.967156,-92.095966,481545,3,2,"ABBEVILLE B & LA, BANK OF ABBEVILLE & TRUST COMPANY, GULF COAST BANK",NA,NA,NA
"3","ABBEVILLE","SC",1.818181818,64,"C",34.179273,-82.379776,127346,2,2.5,"ABBEVILLE S & LA, ABBEVILLE SAVINGS AND LOAN, SSB",599995,1,"HopeSouth FCU"
"4","ABBOTSFORD","WI",1.909090909,91,"C",44.948612,-90.315875,535393,2,2,"ABBOTSFORD STATE BANK, ABBYBANK",NA,NA,NA
"5","ABERDEEN","MD",2,199,"U",39.50893,-76.303492,389993,2,2,"HARFORD NATIONAL BANK, HARFORD BANK",NA,NA,NA
"6","ABERDEEN","MS",2,118,"C",33.824742,-88.554591,54237,2,2,"FIRST FS & LA, FIRST FS&LA",NA,NA,NA
"7","ABERDEEN","SD",1.5,145,"C",45.463186,-98.471033,1881167,2,1.5,"FIRST S & LA OF SOUTH DAKOTA, INC., DACOTAH BK",855000,2,"Dacotah Banks, Inc., Homes Are Possible Inc."
"8","ABERDEEN","WA",1.631578947,172,"C",46.976432,-123.795781,744607,2,1.5,"THE BANK OF GRAYS HARBOR, BANK OF THE PACIFIC",NA,NA,NA
"9","ABERNATHY","TX",1.888888889,226,"C",33.830523,-101.846278,39560,1,2,"THE FIRST STATE BANK",NA,NA,NA
"10","ABILENE","KS",2,253,"C",38.921855,-97.220768,200799,3,2.33333333333333,"CITIZENS BANK AND TRUST, CITIZENS BANK AND TRUST COMPANY, FIRST NATIONAL BANK",NA,NA,NA
"11","ABILENE","TX",1.869565217,280,"U",32.428784,-99.747194,6300913,2,1.5,"FNB OF ABILENE, FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",NA,NA,NA
"12","ABINGDON","VA",2.083333333,NA,"",36.740217,-82.026738,539024,1,2,"HIGHLANDS UNION BK",213687386,2,"People Incorporated Financial Services, People Incorporated Housing Group"
"13","ABINGTON","MA",1.928571429,NA,"",42.11749,-70.959888,938555,1,2,"ABINGTON SAVINGS BANK",NA,NA,NA
"14","ABINGTON","PA",2,NA,"",40.123805,-75.114767,36417,1,2,"CHELTEN HILLS SAVINGS BANK",NA,NA,NA
"15","ABSAROKEE","MT",2,NA,"",45.515571,-109.455156,117657,3,2,"UNITED BANK OF ABSAROKEE, N.A., UNITED BANK, N.A., UNITED BANKS, N.A.",NA,NA,NA
"16","ABSECON","NJ",2,NA,"",39.42845,-74.49571,153865,1,2,"FIRST NATIONAL BANK OF ABSECON",NA,NA,NA
"17","ACKLEY","IA",1.875,NA,"",42.55553,-93.05298,119306,1,2,"ACKLEY STATE BANK",NA,NA,NA
"18","ACWORTH","GA",2,NA,"",34.034515,-84.707349,69178,1,2,"NORTHWEST BANK & TRUST",NA,NA,NA
"19","ADA","MN",2,NA,"",47.325283,-96.597259,36000,1,2,"FIRST STATE BANK OF ADA",NA,NA,NA
"20","ADA","OH",1.833333333,388,"C",40.76723,-83.82466,530367,3,2,"THE LIBERTY NATIONAL BANK OF ADA, LIBERTY NATIONAL  BANK, LIBERTY NATIONAL BANK",NA,NA,NA
"21","ADA","OK",2,415,"C",34.774803,-96.669103,1241706,4,2,"HOME FS&LA OF ADA, THE FIRST NATIONAL BANK & TRUST CO, VISION BANK, N.A., VISION BANK, NATIONAL ASSOCIATION",50624330,2,"Chickasaw Nation Community Development Endeavor LLC, Chickasaw Nation Community Development Financial Institution"
"22","ADAIR","IA",1.625,NA,"",41.439109,-94.633805,50081,1,2,"EXCHANGE STATE BANK",NA,NA,NA
"23","ADAIR","OK",2,NA,"",36.43736,-95.26975,9843,1,2,"ADAIR STATE BANK",NA,NA,NA
"24","ADAIRSVILLE","GA",1.8,NA,"",34.3687,-84.93411,160372,2,2,"BANK OF ADAIRSVILLE, NORTHSIDE BANK",NA,NA,NA
"25","ADAIRVILLE","KY",1,NA,"",36.66754,-86.85194,12000,1,1,"ADAIRVILLE BANKING COMPANY",NA,NA,NA
"26","ADAMS","MA",1.583333333,NA,"",42.62776,-73.11862,653107,2,1.5,"ADAMS CO-OPERATIVE BANK, ADAMS COMMUNITY BANK",NA,NA,NA
"27","ADAMS","MN",2,NA,"",43.565168,-92.74389,208867,2,2,"FARMERS STATE BANK OF ADAMS, MINNESOTA, UNITED FARMERS STATE BANK",NA,NA,NA
"28","ADAMS","ND",1.75,NA,"",48.383547,-97.997964,11490,1,1,"SECURITY STATE BANK OF ADAMS",NA,NA,NA
"29","ADAMS","NE",1.714285714,NA,"",40.45603,-96.513526,49659,1,2,"ADAMS STATE BANK",NA,NA,NA
"30","ADAMS","WI",1,NA,"",43.892066,-89.827509,45000,1,1,"M&I BANK OF ADAMS-FRIENDSHIP",NA,NA,NA
"31","ADAMSVILLE","TN",1.833333333,NA,"",35.271057,-88.447528,118702,1,1,"THE BANK OF ADAMSVILLE",NA,NA,NA
"32","ADDISON","IL",2,NA,"",41.93106,-88.01305,409651,1,2,"OXFORD BANK & TRUST",NA,NA,NA
"33","ADDISON","TX",2,NA,"",32.96179,-96.82917,135592,2,2,"ADDISON NATIONAL BANK, LIBERTY CAPITAL BANK",NA,NA,NA
"34","ADEL","GA",1.714285714,469,"C",31.145731,-83.429099,80936,1,2,"ADEL BANKING COMPANY",NA,NA,NA
"35","ADEL","IA",1.555555556,496,"C",41.612188,-94.021031,243806,3,1.66666666666667,"RACCOON VALLEY STATE BANK, BRENTON BANK AND TRUST COMPANY, PEOPLES TRUST & SAVINGS BANK",NA,NA,NA
"36","ADELL","WI",2,NA,"",43.61916,-87.95204,27179,1,2,"ADELL STATE BANK",NA,NA,NA
"37","ADRIAN","MI",1.666666667,577,"C",41.909568,-84.031176,409339,2,2.5,"ADRIAN STATE BANK, FIRST FS & LA OF LENAWEE COUNTY",NA,NA,NA
"38","ADRIAN","MN",2,NA,"",43.620754,-95.953225,41167,1,2,"ADRIAN STATE BANK",NA,NA,NA
"39","ADRIAN","MO",1.875,NA,"",38.397029,-94.380375,161803,2,2,"ADRIAN BANK, ADRIAN BK",NA,NA,NA
"40","ADVANCE","MO",1.75,NA,"",37.1045,-89.91065,528570,2,2,"THE BANK OF ADVANCE, BANK OF ADVANCE",NA,NA,NA
"41","AFTON","WY",1.666666667,NA,"",42.72493,-110.93187,157855,1,2,"BANK OF STAR VALLEY",NA,NA,NA
"42","AGANA","GU",1.666666667,NA,"",13.438296,144.77295,53417,1,1,"CITIZENS SECURITY BANK (GUAM), INC.",NA,NA,NA
"43","AGOURA HILLS","CA",2,NA,"",34.123286,-118.758541,757349,3,2.33333333333333,"CHARTER PACIFIC BANK, FOOTHILL THRIFT AND LOAN, PACIFIC CREST BANK",NA,NA,NA
"44","AIBION","IL",1.666666667,NA,"",40.102875,-89.152611,212222,2,2,"CITIZENS NATIONAL OF ALBION, CITIZENS NATIONAL BANK OF ALBION",NA,NA,NA
"45","AIKEN","SC",1.681818182,NA,"",33.554433,-81.69588,1729858,2,1.5,"PALMETTO FEDERAL SAVINGS BANK OF S C, SECURITY FEDERAL BANK",3847843,2,"Security Federal Bank, Security Federal Corporation"
"46","AILEY","GA",1.6,NA,"",32.17966,-82.516557,273730,2,2,"MONTGOMERY COUNTY BANK, MONTGOMERY BANK & TRUST",NA,NA,NA
"47","AINSWORTH","NE",2,NA,"",42.542734,-99.852364,205795,3,2,"THE FIRST NATIONAL BANK, THE COMMERCIAL NATIONAL BANK OF AINSWORTH, WEST PLAINS BK",NA,NA,NA
"48","AITKIN","MN",2,NA,"",46.53301,-93.71025,118899,2,2,"THE FIRST NATIONAL BANK OF AITKIN, SECURITY STATE BANK OF AITKIN",NA,NA,NA
"49","AKRON","CO",2,NA,"",40.073328,-103.202379,50648,2,2,"FIRST NATIONAL BANK OF AKRON, THE CITIZENS NATIONAL BANK OF AKRON",NA,NA,NA
"50","AKRON","IA",1.666666667,NA,"",42.822482,-96.462952,42944,1,2,"THE FIRST NATIONAL BANK OF AKRON",NA,NA,NA
"51","AKRON","NY",2,739,"C",43.020471,-78.493346,272701,1,2,"BANK OF AKRON",NA,NA,NA
"52","AKRON","OH",1.611111111,766,"U",41.066225,-81.491897,25360960,2,2,"NORTH AKRON SAVINGS BANK, FIRSTMERIT BANK, N.A.",97259455,4,"Asian Services In Action, Inc., Buckeye State Credit Union, INC., Development Fund of the Western Reserve, Inc., Enterprise Community Fund"
"53","ALACHUA","FL",2,793,"C",29.791157,-82.507967,298907,2,2,"FIRST NATIONAL BANK OF ALACHUA, THE FIRST NATIONAL BANK OF ALACHUA",NA,NA,NA
"54","ALACHUA COUNTY","FL",2,NA,"",29.813456,-82.472049,1000,1,2,"GAINESVILLE STATE BANK",NA,NA,NA
"55","ALAMEDA","CA",2,NA,"",37.770563,-122.264779,466892,2,2,"BANK OF ALAMEDA, ALAMEDA FIRST NATIONAL BANK",NA,NA,NA
"56","ALAMO","GA",1.833333333,NA,"",32.143021,-82.82677,88435,1,2,"WHEELER COUNTY STATE BANK",NA,NA,NA
"57","ALAMO","TN",2,NA,"",35.78479,-89.11729,79362,1,2,"THE BANK OF ALAMO",NA,NA,NA
"58","ALAMO","TX",1.666666667,NA,"",26.18369,-98.12306,293045,1,2,"ALAMO BANK OF TEXAS",NA,NA,NA
"59","ALAMOGORDO","NM",1.653846154,820,"C",32.902624,-105.949622,713761,3,1.66666666666667,"BANK'34, FIRST NATIONAL BANK  IN ALAMOGORDO, FIRST NATIONAL BANK",NA,NA,NA
"60","ALAMOSA","CO",1.555555556,847,"C",37.459931,-105.872135,434882,2,1.5,"SAN LUIS VALLEY FEDERAL BANK, FIRST SOUTHWEST BANK",1150166,2,"First Southwest Bank, Valley Educators Credit Union"
"61","ALAPAHA","GA",2,NA,"",31.383968,-83.221348,139811,1,2,"BANK OF ALAPAHA",NA,NA,NA
"62","ALBANY","GA",1.708333333,901,"U",31.591097,-84.168827,2136539,3,1.66666666666667,"FIRST STATE BANK & TRUST COMPANY, TRUST COMPANY BANK OF SOUTH GEORGIA, N.A., HERITAGE BANK OF THE SOUTH",1454405,1,"Albany Community Together, Inc."
"63","ALBANY","IL",1.714285714,NA,"",41.78947,-90.21929,175456,1,2,"FIRST TRUST & SAVINGS BANK OF ALBANY, ILLINOIS",NA,NA,NA
"64","ALBANY","KY",1.923076923,NA,"",36.745738,-85.181967,320504,2,2,"CITIZENS BANK OF ALBANY, FIRST & FARMERS BANK, INC.",NA,NA,NA
"65","ALBANY","NY",1.722222222,970,"U",42.742965,-73.799324,16066609,2,1,"ALBANK, FSB, KEY BANK OF NEW YORK",7482200,2,"Community Loan Fund of the Capital Region, Inc., NYBDC Local Development Corporation"
"66","ALBANY","OR",2.142857143,955,"U",44.630088,-123.090049,139704,2,2,"LINN-BENTON BANK, WILLAMETTE COMMUNITY BANK",565000,1,"Central Willamette Credit Union"
"67","ALBANY","TX",1.857142857,NA,"",32.768222,-99.210207,989862,3,1.66666666666667,"FNB OF ALBANY/BRECKENRIDGE, FIRST NATIONAL BANK ALBANY/BRECKENRIDGE, FIRST NATIONAL BANK OF ALBANY/BRECKENRIDGE",NA,NA,NA
"68","ALBANY","WI",1,NA,"",42.712827,-89.45123,25497,1,1,"FIRST BANKING CENTER-ALBANY",NA,NA,NA
"69","ALBEMARLE","NC",1.866666667,982,"C",35.369088,-80.196358,1114943,3,2,"BANK OF STANLY, BANK OF STANLY, UWHARRIE BK",NA,NA,NA
"70","ALBERT CITY","IA",2,NA,"",42.78192,-94.9486,25688,1,2,"ALBERT CITY SAVINGS BANK",NA,NA,NA
"71","ALBERT LEA","MN",1.909090909,1009,"C",43.654514,-93.374413,223018,3,2,"STATE BANK OF CLARKS GROVE, AMERICANA NATIONAL BANK, SECURITY BANK MINNESOTA",NA,NA,NA
"72","ALBERTVILLE","AL",2,1036,"C",34.268058,-86.22354,153719,2,2,"COMMERCE BANK OF ALABAMA, VANTAGE BANK OF ALABAMA",NA,NA,NA
"73","ALBIA","IA",1.888888889,1063,"C",41.027012,-92.805195,144395,2,1.5,"PEOPLES STATE BANK, FIRST IOWA STATE BANK",NA,NA,NA
"74","ALBION","IL",2,NA,"",38.328816,-88.064182,325292,1,2,"CITIZENS NATIONAL BANK OF ALBION",NA,NA,NA
"75","ALBION","MI",2,1090,"C",42.252722,-84.75533,106921,2,2,"HOMESTEAD SAVINGS BANK, F.S.B., HOMESTEAD SAVINGS BANK",NA,NA,NA
"76","ALBION","NE",1.857142857,NA,"",41.648736,-98.011092,86623,2,2,"THE FIRST NATIONAL BANK OF ALBION, THE ALBION NATIONAL BANK",NA,NA,NA
"77","ALBION","NY",2,1117,"C",43.245788,-78.193603,73752,1,2,"ALBION FS & LA",NA,NA,NA
"78","ALBION","PA",2,1144,"C",41.890344,-80.355166,126746,2,2,"COMMUNITY NATIONAL BANK, COMMUNITY N. B. OF NORTHWESTERN PA",NA,NA,NA
"79","ALBUQUERQUE","NM",1.879310345,1171,"U",35.143367,-106.628138,6822728,4,2,"UNION SAVINGS BANK, FIRST NATIONAL BANK IN ALBUQUERQUE, NORWEST BANK NEW MEXICO, N.A., WELLS FARGO BANK NEW MEXICO, N.A.",26204898,10,"DreamSpring, First Financial Credit Union, New Mexico Bank and Trust, New Mexico Community Capital, New Mexico Community Development Loan Fund, New Mexico Mortgage Finance Authority, Nusenda Credit Union, Ventana Fund, Wells Fargo Bank New Mexico N.A., Women's Economic Self-Sufficiency Team"
"80","ALCESTER","SD",1.333333333,NA,"",42.931698,-96.624298,103024,1,1,"STATE BK OF ALCESTER",NA,NA,NA
"81","ALCOA","TN",2,NA,"",35.815758,-83.987698,48000,1,2,"AMERICAN FIDELITY BANK",NA,NA,NA
"82","ALDEN","IA",2,NA,"",42.430997,-93.390638,18000,1,2,"ALDEN STATE BANK",NA,NA,NA
"83","ALDEN","KS",1.833333333,NA,"",38.233295,-98.316515,16597,1,2,"THE ALDEN STATE BANK",NA,NA,NA
"84","ALDEN","MI",1.571428571,NA,"",44.900641,-85.232932,184291,1,2,"ALDEN STATE BANK",NA,NA,NA
"85","ALDEN","NY",1.666666667,NA,"",42.872937,-78.528446,270608,1,2,"ALDEN ST BK",NA,NA,NA
"86","ALEDO","IL",2,1225,"C",41.198542,-90.745194,125577,1,2,"COUNTRY BANK",NA,NA,NA
"87","ALEX","OK",2,NA,"",34.914788,-97.78122,10224,1,2,"1ST NATIONAL BANK OF ALEX",NA,NA,NA
"88","ALEXANDER CITY","AL",1.8,1252,"C",32.939703,-85.958004,1013557,2,1.5,"SOUTHTRUST BANK OF CENTRAL ALABAMA, ALIANT BK",NA,NA,NA
"89","ALEXANDRIA","LA",2,1279,"U",31.460476,-92.422913,1732324,2,2,"SECURITY FIRST NATIONAL BANK, RED RIVER BANK",NA,NA,NA
"90","ALEXANDRIA","MN",1.84,1306,"C",45.900999,-95.3683,1303191,4,2,"VIKING SAVINGS BANK, FIRST AMERICAN BANK OF ALEXANDRIA, BREMER BANK, N.A., BREMER BANK, NA",NA,NA,NA
"91","ALEXANDRIA","OH",3,NA,"",40.100513,-82.612389,138054,1,3,"HUNTINGTON ST BK",NA,NA,NA
"92","ALEXANDRIA","SD",2,NA,"",43.66844,-97.75632,72219,1,2,"SECURITY STATE BANK",NA,NA,NA
"93","ALEXANDRIA","TN",2,NA,"",36.07756,-86.03332,74000,1,2,"DEKALB COUNTY BANK & TRUST COMPANY",NA,NA,NA
"94","ALEXANDRIA","VA",2,NA,"",38.819853,-77.059645,2694424,2,2,"FIRST COMMONWEALTH SAVINGS BANK FSB, BURKE & HERBERT BANK & TRUST COMPANY",35114500,3,"Minerva Seed Fund, Shiloh of Alexandria Federal Credit Union, VOANS CDE, Inc."
"95","ALEXANDRIA BAY","NY",2,NA,"",44.33588,-75.91773,114581,2,2,"REDWOOD NATIONAL BANK, REWOOD NATIONAL BANK",NA,NA,NA
"96","ALGOMA","WI",2,1360,"C",44.607208,-87.444363,107995,2,2,"COMMUNITY STATE BANK, F&M BK ALGOMA",NA,NA,NA
"97","ALGONA","IA",1.85,1387,"C",43.072716,-94.228677,244248,1,2,"IOWA STATE BANK",NA,NA,NA
"98","ALGONAC","MI",1.5,NA,"",42.61837,-82.53102,116000,1,2,"THE ALGONAC SAVINGS BANK",NA,NA,NA
"99","ALGONQUIN","IL",2,NA,"",42.164741,-88.308625,328964,2,2,"ALGONQUIN STATE BANK, GREATBANK",NA,NA,NA
"100","ALHAMBRA","CA",2.115384615,NA,"",34.090728,-118.127527,1022539,3,2,"OMNI BANK, N.A., NEW OMNI BANK, NATIONAL ASSOCIATION, FIRST COMMERCIAL BANK (USA)",17816,1,"Chinatrust Bank (U.S.A.)"
"101","ALICE","TX",2,1414,"C",27.7524,-98.075031,472197,2,2.5,"THE BANK OF ALICE, TEXAS CHAMPION BANK",NA,NA,NA
"102","ALICEVILLE","AL",2,NA,"",33.12957,-88.15142,317382,2,2,"FIRST NATIONAL BANK OF PICKENS, FIRST NATIONAL BANK OF CENTRAL ALABAMA",NA,NA,NA
"103","ALICEVILLE","KS",2,NA,"",0,0,25434,1,2,"THE FARMERS STATE BANK OF ALICEVILLE, KANSAS",NA,NA,NA
"104","ALIQUIPPA","PA",2.5,NA,"",40.63673,-80.24006,140571,1,2,"ECONOMY SA",25000,1,"Aliquippa Alliance for Unity and Development, Inc."
"105","ALLEN","OK",2,NA,"",34.869145,-96.415107,38473,1,2,"FARMERS STATE BANK, ALLEN, OKLAHOMA",NA,NA,NA
"106","ALLENDALE","IL",2,NA,"",38.527638,-87.706344,187021,1,2,"THE FIRST NATIONAL BANK OF ALLENDALE",NA,NA,NA
"107","ALLENDALE","SC",1.8,1468,"C",33.008841,-81.311258,34148,1,2,"CAROLINA COMMERCIAL BANK",NA,NA,NA
"108","ALLENTOWN","GA",1.833333333,NA,"",32.606433,-83.20951,75790,1,2,"THE FOUR COUNTY BANK",NA,NA,NA
"109","ALLENTOWN","PA",1.8,1495,"U",40.651343,-75.441706,2611757,3,1.66666666666667,"AMBASSADOR BK OF THE CMMWLTH, AMERICAN BK, MERCHANTS BANK, N.A.",NA,NA,NA
"110","ALLERTON","IL",2.2,NA,"",39.923693,-87.899719,18736,1,2,"THE STATE BANK OF ALLERTON",NA,NA,NA
"111","ALLIANCE","NE",2,1522,"C",42.100596,-102.87402,308000,2,2,"WESTERN BANK, THE ABBOTT BANK",NA,NA,NA
"112","ALLISON PARK","PA",2,NA,"",40.55951,-79.95867,524433,3,2,"ENTERPRISE BANK, LAUREL SAVINGS BANK, LAUREL SAVINGS BANK",NA,NA,NA
"113","ALMA","AR",2,NA,"",35.479157,-94.193334,64034,1,2,"COMMERCIAL BANK AT ALMA",NA,NA,NA
"114","ALMA","GA",1.642857143,1603,"C",31.541885,-82.469694,658353,4,2,"ALMA EXCHANGE BANK & TRUST, THE FIRST NATIONAL BANK OF ALMA, FIRST NATIONAL BANK SOUTH, PINELAND BANK",NA,NA,NA
"115","ALMA","KS",1.5,NA,"",38.953556,-96.204558,21969,1,1,"FIRST NATIONAL BANK IN ALMA",NA,NA,NA
"116","ALMA","MI",1.6875,1630,"C",43.390674,-84.641499,1017765,3,1.66666666666667,"BANK OF ALMA, FIRSTBANK - ALMA, COMMERCIAL BANK",NA,NA,NA
"117","ALMA","NE",1.571428571,NA,"",40.101761,-99.352846,70285,2,1.5,"HARLAN COUNTY BANK, COMMUNITY BANK",NA,NA,NA
"118","ALMA","WI",1.571428571,NA,"",44.346721,-91.836481,189047,1,2,"BANK OF ALMA",NA,NA,NA
"119","ALMELUND","MN",1.5,NA,"",45.513447,-92.894239,47432,2,1.5,"FARMERS STATE BANK OF ALMELUND, TOWN AND COUNTRY BANK OF ALMELUND",NA,NA,NA
"120","ALMENA","KS",2,NA,"",39.891272,-99.711523,128591,2,2.5,"THE FIRST STATE BANK, ALMENA STATE BANK",NA,NA,NA
"121","ALMOND","WI",2,NA,"",44.25886,-89.40706,79107,1,2,"PORTAGE COUNTY BANK",NA,NA,NA
"122","ALPENA","MI",1.636363636,1684,"C",45.063072,-83.453033,282852,1,1,"FIRST FEDERAL OF NORTHERN MICHIGAN",NA,NA,NA
"123","ALPHA","IL",2,NA,"",41.1917,-90.38013,129821,1,2,"FARMERS ST BK WESTERN IL",NA,NA,NA
"124","ALPHA","MN",1.875,NA,"",43.63885,-94.87082,35956,1,2,"FARMERS AND MERCHANTS STATE BANK OF ALPHA",NA,NA,NA
"125","ALPHARETTA","GA",1.75862069,NA,"",34.112373,-84.30205,5879748,3,1.66666666666667,"BANK OF NORTH GEORGIA, BANK OF NORTH GEORGIA, NETBANK",NA,NA,NA
"126","ALPINE","TX",1.5,1711,"C",30.358305,-103.664632,70515,1,2,"FIRST NATIONAL BANK IN ALPINE",NA,NA,NA
"127","ALSIP","IL",2.5,NA,"",41.673552,-87.735958,89000,2,2.5,"FIRST STATE BANK OF ALSIP, ALSIP BANK AND TRUST",NA,NA,NA
"128","ALTA","IA",2,NA,"",42.67359,-95.29055,17000,1,2,"THE FIRST TRUST AND SAVINGS BANK",NA,NA,NA
"129","ALTA VISTA","IA",2,NA,"",43.19858,-92.41712,18000,1,2,"ALTA VISTA STATE BANK",NA,NA,NA
"130","ALTA VISTA","KS",2,NA,"",38.864507,-96.488112,14825,1,2,"THE ALTA VISTA STATE BANK",NA,NA,NA
"131","ALTAMONT","IL",2,NA,"",39.053436,-88.719754,47268,1,2,"DOWNSTATE NATIONAL BANK",NA,NA,NA
"132","ALTAMONT","KS",1.555555556,NA,"",37.19034,-95.29719,376772,2,1.5,"THE LABETTE COUNTY STATE BANK, LABETTE BANK",NA,NA,NA
"133","ALTAMONTE SPRINGS","FL",2,NA,"",28.666625,-81.365039,98000,1,2,"SOUTHERN BANK OF CENTRAL FLORIDA",NA,NA,NA
"134","ALTAVISTA","VA",2,1738,"C",37.113627,-79.294132,850436,3,2,"FIRST NATIONAL BANK OF ALTAVISTA, THE FIRST NATIONAL BANK OF ALTAVISTA, FIRST NATIONAL BANK",NA,NA,NA
"135","ALTENBURG","MO",2.222222222,NA,"",37.627908,-89.574503,65623,2,2.5,"BANK OF ALTENBURG, PEOPLES BK OF ALTENBURG",NA,NA,NA
"136","ALTHEIMER","AR",2,NA,"",34.31926,-91.84736,13055,1,2,"FIRST NATIONAL BANK OF ALTHEIMER",NA,NA,NA
"137","ALTO","TX",2.333333333,NA,"",31.65045,-95.07272,20000,1,2,"CONTINENTAL STATE BANK",NA,NA,NA
"138","ALTO PASS","IL",2,NA,"",37.546479,-89.357896,243729,1,2,"FARMERS STATE BANK OF ALTO PASS, ILL.",NA,NA,NA
"139","ALTON","IA",1.857142857,NA,"",43.03801,-95.970314,59673,2,2,"ALTON SAVINGS BANK, COMMUNITY BANK",NA,NA,NA
"140","ALTON","IL",1.916666667,1765,"U",38.897792,-90.128014,1091638,4,1.75,"THE BANK OF ALTON, WEDGE BANK, LIBERTY BANK, MERCANTILE BANK OF ILLINOIS",NA,NA,NA
"141","ALTON","MO",1.888888889,1765,"U",38.897792,-90.128014,61036,1,2,"ALTON BANK",NA,NA,NA
"142","ALTOONA","AL",1.857142857,NA,"",34.07097,-86.209599,257995,2,2,"FIRST STATE BANK OF ALTOONA, THE EXCHANGE BANK OF ALABAMA",NA,NA,NA
"143","ALTOONA","IA",2.083333333,NA,"",41.65097,-93.4685,281271,3,2,"FARMERS SAVINGS BANK, LEGACY BANK, BANK IA",NA,NA,NA
"144","ALTOONA","PA",1.84375,1792,"U",40.485263,-78.393865,1431456,3,1.66666666666667,"ALTOONA FIRST SAVINGS BANK, RELIANCE SAVINGS BANK, MID-STATE BANK AND TRUST COMPANY",NA,NA,NA
"145","ALTOONA","WI",2,NA,"",44.803612,-91.442253,696130,1,2,"CITIZENS COMMUNITY FEDERAL NATIONAL ASSOCIATION",NA,NA,NA
"146","ALTURA","MN",1.833333333,NA,"",44.085616,-91.946134,43457,1,2,"ALTURA STATE BANK",NA,NA,NA
"147","ALTUS","OK",1.666666667,1846,"C",34.652723,-99.310867,683980,4,2,"FIRST STATE BANK OF ALTUS, FIRST NATIONAL BANK OF ALTUS, FIRST NATIONAL BANK IN ALTUS, THE FIRST NATIONAL BANK IN ALTUS",NA,NA,NA
"148","ALVA","OK",2.05,1873,"C",36.801096,-98.664669,795277,2,2,"ALVA STATE BANK & TRUST COMPANY, BANCCENTRAL, NATIONAL ASSOCIATION",NA,NA,NA
"149","ALVARADO","TX",2,1900,"C",32.412336,-97.216697,18000,1,2,"ALVARADO STATE BANK",NA,NA,NA
"150","ALVIN","TX",1.789473684,NA,"",29.380858,-95.241857,162334,2,2,"TEXAS ADVANTAGE COMMUNITY BANK, N.A., ALVIN STATE BANK",NA,NA,NA
"151","AMARILLO","TX",1.793103448,1927,"U",35.197528,-101.849137,5426740,2,1.5,"CITIZENS BANK, AMARILLO NATIONAL BANK",260744,2,"Equitrend Capital, Happy State Bank"
"152","AMBLER","PA",2,NA,"",40.180876,-75.215621,512266,2,2,"AMBLER S & LA, AMBLER SAVINGS BANK",NA,NA,NA
"153","AMBOY","IL",1.8,NA,"",41.721016,-89.299671,307598,2,2,"FIRST NATIONAL BANK OF AMBOY, THE FIRST NATIONAL BANK IN AMBOY",NA,NA,NA
"154","AMERICAN FORK","UT",1.909090909,NA,"",40.395796,-111.803101,2524012,2,2,"BANK OF AMERICAN FORK, PEOPLE'S INTERMOUNTAIN BANK",NA,NA,NA
"155","AMERICUS","GA",1.5,2008,"C",32.072568,-84.229191,544030,2,2,"THE CITIZENS BANK OF AMERICUS, CITIZENS BANK OF AMERICUS",NA,NA,NA
"156","AMERICUS","KS",2,NA,"",38.556174,-96.261884,13398,1,2,"THE AMERICUS STATE BANK",NA,NA,NA
"157","AMERY","WI",1.6,2035,"C",45.30657,-92.364724,304462,3,1.33333333333333,"NORTHWEST SAVINGS BANK, NORTHWEST SAVINGS BANK, FIRST AMERICAN BANK WISCONSIN",NA,NA,NA
"158","AMES","IA",1.962962963,2062,"U",42.031216,-93.633762,811073,2,2,"BRENTON SAVINGS BANK, FSB, FIRST NATIONAL BANK, AMES, IOWA",248600,1,"Iowa Able Foundation"
"159","AMESBURY","MA",2,NA,"",42.853539,-70.948211,617402,2,2,"AMESBURY CO-OPERATIVE BANK, THE PROVIDENT BANK",NA,NA,NA
"160","AMHERST","TX",2.5,NA,"",34.02831,-102.425378,66639,3,2.66666666666667,"THE FIRST NATIONAL BANK OF AMHERST, FIRST NATIONAL BANK OF AMHERST, FNB OF AMHERST",NA,NA,NA
"161","AMHERST","WI",1.875,NA,"",44.393087,-89.335313,64976,1,2,"THE INTERNATIONAL BANK OF AMHERST",NA,NA,NA
"162","AMHERST JUNCTION","WI",2,NA,"",44.46886,-89.31261,23000,1,2,"F & M BANK-AMHERST JUNCTION",NA,NA,NA
"163","AMITE","LA",1.777777778,NA,"",30.74483,-90.41058,112788,2,2,"PEOPLES BANK, CENTRAL PROGRESSIVE BANK OF AMITE",NA,NA,NA
"164","AMITY","AR",2.333333333,NA,"",34.232509,-93.313673,58114,1,2,"BANK OF AMITY",NA,NA,NA
"165","AMMON","ID",2,NA,"",0,0,1178901,1,2,"THE BANK OF COMMERCE",NA,NA,NA
"166","AMORY","MS",1.866666667,2143,"C",33.984789,-88.48001,529742,2,2,"AMORY FS & LA, COMMUNITY BANK, NORTH MISSISSIPPI",465287,1,"Community Bank, North Mississippi"
"167","AMSTERDAM","MO",1.714285714,NA,"",38.34974,-94.58912,54366,1,1,"CITIZENS BANK",NA,NA,NA
